Name of State,Total Cases,Cured,Deaths
Andhra Pradesh,14,1,0
Andaman and Nicobar Islands,9,0,0
Bihar,9,0,1
Chandigarh,8,0,0
Chhattisgarh,6,0,0
Delhi,39,6,2
Goa,3,0,0
Gujarat,53,0,4
Haryana,33,12,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,31,1,1
Karnataka,76,5,3
Kerala,182,15,1
Ladakh,13,3,0
Madhya Pradesh,30,0,2
Maharashtra,186,25,6
Manipur,1,0,0
Mizoram,1,0,0
Odisha,3,0,0
Puducherry,1,0,0
Punjab,38,1,1
Rajasthan,54,3,0
Tamil Nadu,42,2,1
Telengana,66,1,1
Uttarakhand,6,1,0
Uttar Pradesh,55,11,0
